provider_number,year,state,state_name,uncomp_care,uncomp_care_m,expand_year,expand_ever,expanded,date_adopted,post,treat,time_to_treat,time_to_treat_bin
010052,2011,AL,Alabama,1466478.0,1.466478,,0,0,,0,0,0,0
010052,2012,AL,Alabama,1650053.0,1.650053,,0,0,,0,0,0,0
010052,2013,AL,Alabama,1208470.0,1.20847,,0,0,,0,0,0,0
010052,2014,AL,Alabama,1331248.0,1.331248,,0,0,,1,0,0,0
010052,2015,AL,Alabama,1306991.0,1.306991,,0,0,,1,0,0,0
010052,2016,AL,Alabama,3160807.0,3.160807,,0,0,,1,0,0,0
010052,2017,AL,Alabama,1100799.0,1.100799,,0,0,,1,0,0,0
010052,2018,AL,Alabama,51903.0,0.051903,,0,0,,1,0,0,0
010054,2011,AL,Alabama,440476.0,0.440476,,0,0,,0,0,0,0
010054,2012,AL,Alabama,1934281.0,1.934281,,0,0,,0,0,0,0
010054,2013,AL,Alabama,887524.0,0.887524,,0,0,,0,0,0,0
010055,2012,AL,Alabama,4432450.0,4.43245,,0,0,,0,0,0,0
010055,2013,AL,Alabama,4549329.0,4.549329,,0,0,,0,0,0,0
010055,2014,AL,Alabama,1125043.0,1.125043,,0,0,,1,0,0,0
010055,2015,AL,Alabama,3064394.0,3.064394,,0,0,,1,0,0,0
010055,2016,AL,Alabama,8322259.0,8.322259,,0,0,,1,0,0,0
010055,2017,AL,Alabama,8130930.0,8.13093,,0,0,,1,0,0,0
010055,2018,AL,Alabama,10332428.0,10.332428,,0,0,,1,0,0,0
010056,2012,AL,Alabama,6738679.0,6.738679,,0,0,,0,0,0,0
010056,2013,AL,Alabama,9935474.0,9.935474,,0,0,,0,0,0,0
010056,2014,AL,Alabama,9545602.0,9.545602,,0,0,,1,0,0,0
010056,2015,AL,Alabama,9940124.0,9.940124,,0,0,,1,0,0,0
010056,2016,AL,Alabama,10310285.0,10.310285,,0,0,,1,0,0,0
010056,2017,AL,Alabama,13052501.0,13.052501,,0,0,,1,0,0,0
010056,2018,AL,Alabama,17077410.0,17.07741,,0,0,,1,0,0,0
010058,2011,AL,Alabama,7058.0,0.007058,,0,0,,0,0,0,0
010058,2012,AL,Alabama,1368446.0,1.368446,,0,0,,0,0,0,0
010058,2013,AL,Alabama,1793885.0,1.793885,,0,0,,0,0,0,0
010058,2014,AL,Alabama,1733351.0,1.733351,,0,0,,1,0,0,0
010058,2015,AL,Alabama,1424393.0,1.424393,,0,0,,1,0,0,0
010058,2016,AL,Alabama,865166.0,0.865166,,0,0,,1,0,0,0
010058,2017,AL,Alabama,293148.0,0.293148,,0,0,,1,0,0,0
010058,2018,AL,Alabama,1641023.0,1.641023,,0,0,,1,0,0,0
010059,2011,AL,Alabama,586574.0,0.586574,,0,0,,0,0,0,0
010059,2012,AL,Alabama,1382554.0,1.382554,,0,0,,0,0,0,0
010059,2013,AL,Alabama,1182598.0,1.182598,,0,0,,0,0,0,0
010059,2014,AL,Alabama,1189245.0,1.189245,,0,0,,1,0,0,0
010059,2015,AL,Alabama,632593.0,0.632593,,0,0,,1,0,0,0
010059,2016,AL,Alabama,1186667.0,1.186667,,0,0,,1,0,0,0
010059,2017,AL,Alabama,1254520.0,1.25452,,0,0,,1,0,0,0
010059,2018,AL,Alabama,1340768.0,1.340768,,0,0,,1,0,0,0
010061,2011,AL,Alabama,295569.0,0.295569,,0,0,,0,0,0,0
010061,2012,AL,Alabama,4299192.0,4.299192,,0,0,,0,0,0,0
010061,2013,AL,Alabama,3592799.0,3.592799,,0,0,,0,0,0,0
010061,2014,AL,Alabama,3952463.0,3.952463,,0,0,,1,0,0,0
010061,2015,AL,Alabama,3991481.0,3.991481,,0,0,,1,0,0,0
010061,2016,AL,Alabama,4458791.0,4.458791,,0,0,,1,0,0,0
010061,2017,AL,Alabama,3723209.0,3.723209,,0,0,,1,0,0,0
010061,2018,AL,Alabama,3582543.0,3.582543,,0,0,,1,0,0,0
010062,2011,AL,Alabama,227902.0,0.227902,,0,0,,0,0,0,0
010062,2012,AL,Alabama,800259.0,0.800259,,0,0,,0,0,0,0
010062,2013,AL,Alabama,1504729.0,1.504729,,0,0,,0,0,0,0
010062,2014,AL,Alabama,1065406.0,1.065406,,0,0,,1,0,0,0
010062,2015,AL,Alabama,815781.0,0.815781,,0,0,,1,0,0,0
010062,2016,AL,Alabama,1483898.0,1.483898,,0,0,,1,0,0,0
010062,2017,AL,Alabama,2464924.0,2.464924,,0,0,,1,0,0,0
010062,2018,AL,Alabama,2719233.0,2.719233,,0,0,,1,0,0,0
010065,2011,AL,Alabama,231589.0,0.231589,,0,0,,0,0,0,0
010065,2012,AL,Alabama,3710564.0,3.710564,,0,0,,0,0,0,0
010065,2013,AL,Alabama,3699593.0,3.699593,,0,0,,0,0,0,0
010065,2014,AL,Alabama,2730298.0,2.730298,,0,0,,1,0,0,0
010065,2015,AL,Alabama,2768637.0,2.768637,,0,0,,1,0,0,0
010065,2016,AL,Alabama,3506579.0,3.506579,,0,0,,1,0,0,0
010065,2017,AL,Alabama,2098640.0,2.09864,,0,0,,1,0,0,0
010065,2018,AL,Alabama,1833412.0,1.833412,,0,0,,1,0,0,0
010066,2012,AL,Alabama,661956.0,0.661956,,0,0,,0,0,0,0
010066,2013,AL,Alabama,405187.0,0.405187,,0,0,,0,0,0,0
010069,2011,AL,Alabama,370206.0,0.370206,,0,0,,0,0,0,0
010069,2012,AL,Alabama,1029415.0,1.029415,,0,0,,0,0,0,0
010069,2013,AL,Alabama,1367999.0,1.367999,,0,0,,0,0,0,0
010069,2014,AL,Alabama,1136105.0,1.136105,,0,0,,1,0,0,0
010069,2015,AL,Alabama,1001161.0,1.001161,,0,0,,1,0,0,0
010069,2016,AL,Alabama,1111948.0,1.111948,,0,0,,1,0,0,0
010069,2017,AL,Alabama,152962.0,0.152962,,0,0,,1,0,0,0
010069,2018,AL,Alabama,1417558.0,1.417558,,0,0,,1,0,0,0
010073,2011,AL,Alabama,2992.0,0.002992,,0,0,,0,0,0,0
010073,2012,AL,Alabama,838278.0,0.838278,,0,0,,0,0,0,0
010073,2013,AL,Alabama,1138623.0,1.138623,,0,0,,0,0,0,0
010073,2014,AL,Alabama,1406751.0,1.406751,,0,0,,1,0,0,0
010073,2015,AL,Alabama,983054.0,0.983054,,0,0,,1,0,0,0
010073,2016,AL,Alabama,1201461.0,1.201461,,0,0,,1,0,0,0
010073,2017,AL,Alabama,1187737.0,1.187737,,0,0,,1,0,0,0
010073,2018,AL,Alabama,952033.0,0.952033,,0,0,,1,0,0,0
010078,2012,AL,Alabama,10096988.0,10.096988,,0,0,,0,0,0,0
010078,2013,AL,Alabama,8730801.0,8.730801,,0,0,,0,0,0,0
010078,2014,AL,Alabama,5053497.0,5.053497,,0,0,,1,0,0,0
010078,2015,AL,Alabama,7895042.0,7.895042,,0,0,,1,0,0,0
010078,2016,AL,Alabama,9186365.0,9.186365,,0,0,,1,0,0,0
010078,2017,AL,Alabama,14115644.0,14.115644,,0,0,,1,0,0,0
010078,2018,AL,Alabama,12442712.0,12.442712,,0,0,,1,0,0,0
010079,2012,AL,Alabama,6020561.0,6.020561,,0,0,,0,0,0,0
010079,2013,AL,Alabama,5070421.0,5.070421,,0,0,,0,0,0,0
010079,2014,AL,Alabama,4728361.0,4.728361,,0,0,,1,0,0,0
010079,2015,AL,Alabama,2342855.0,2.342855,,0,0,,1,0,0,0
010079,2016,AL,Alabama,2449087.0,2.449087,,0,0,,1,0,0,0
010079,2017,AL,Alabama,4816111.0,4.816111,,0,0,,1,0,0,0
010079,2018,AL,Alabama,5062542.0,5.062542,,0,0,,1,0,0,0
010083,2011,AL,Alabama,3208678.0,3.208678,,0,0,,0,0,0,0
010083,2012,AL,Alabama,4505676.0,4.505676,,0,0,,0,0,0,0
010083,2013,AL,Alabama,4036181.0,4.036181,,0,0,,0,0,0,0
010083,2014,AL,Alabama,4725063.0,4.725063,,0,0,,1,0,0,0
010083,2015,AL,Alabama,3726472.0,3.726472,,0,0,,1,0,0,0
010083,2016,AL,Alabama,6126306.0,6.126306,,0,0,,1,0,0,0
010083,2017,AL,Alabama,6177942.0,6.177942,,0,0,,1,0,0,0
010083,2018,AL,Alabama,7134550.0,7.13455,,0,0,,1,0,0,0
010085,2012,AL,Alabama,1347599.0,1.347599,,0,0,,0,0,0,0
010085,2013,AL,Alabama,5175957.0,5.175957,,0,0,,0,0,0,0
010085,2014,AL,Alabama,7328955.0,7.328955,,0,0,,1,0,0,0
010085,2015,AL,Alabama,8025878.0,8.025878,,0,0,,1,0,0,0
010085,2016,AL,Alabama,9461243.0,9.461243,,0,0,,1,0,0,0
010085,2017,AL,Alabama,10168134.0,10.168134,,0,0,,1,0,0,0
010085,2018,AL,Alabama,12427896.0,12.427896,,0,0,,1,0,0,0
010086,2012,AL,Alabama,1402799.0,1.402799,,0,0,,0,0,0,0
010086,2013,AL,Alabama,1600261.0,1.600261,,0,0,,0,0,0,0
010086,2014,AL,Alabama,641941.0,0.641941,,0,0,,1,0,0,0
010086,2015,AL,Alabama,913508.0,0.913508,,0,0,,1,0,0,0
